date,primary_type,district,arrest,year
2019-02-19 00:01:00+00:00,DECEPTIVE PRACTICE,10,True,2019
2011-08-26 23:15:00+00:00,BATTERY,10,False,2011
2020-03-30 16:10:00+00:00,BATTERY,10,False,2020
2002-06-28 22:00:00+00:00,PUBLIC PEACE VIOLATION,10,False,2002
2006-08-24 08:20:00+00:00,CRIMINAL DAMAGE,11,False,2006
2004-12-16 09:00:00+00:00,CRIMINAL DAMAGE,11,False,2004
2015-05-21 22:00:00+00:00,THEFT,11,False,2015
2020-04-30 13:30:00+00:00,OTHER OFFENSE,12,True,2020
2004-10-15 20:28:00+00:00,BURGLARY,12,True,2004
2006-03-26 01:00:00+00:00,DECEPTIVE PRACTICE,14,False,2006
2004-09-30 20:44:00+00:00,BATTERY,14,True,2004
2002-12-10 00:30:00+00:00,BURGLARY,14,False,2002
2014-05-10 09:00:00+00:00,DECEPTIVE PRACTICE,15,False,2014
2003-08-19 14:00:00+00:00,ROBBERY,15,False,2003
2002-11-29 10:10:56+00:00,NARCOTICS,15,True,2002
2002-09-05 17:45:00+00:00,MOTOR VEHICLE THEFT,17,False,2002
2014-01-20 10:30:00+00:00,THEFT,18,False,2014
2019-12-03 19:00:00+00:00,THEFT,19,False,2019
2019-10-01 15:11:00+00:00,THEFT,19,False,2019
2001-04-26 20:45:00+00:00,CRIMINAL DAMAGE,19,False,2001
2002-08-12 00:00:00+00:00,THEFT,19,False,2002
2023-04-26 16:00:00+00:00,BATTERY,19,False,2023
2009-03-21 02:18:00+00:00,CRIMINAL TRESPASS,2,False,2009
2014-05-15 07:00:00+00:00,THEFT,22,False,2014
2011-05-18 16:00:00+00:00,CRIMINAL TRESPASS,22,True,2011
2010-01-04 14:00:00+00:00,OTHER OFFENSE,19,False,2010
2021-07-30 20:20:00+00:00,CRIMINAL SEXUAL ASSAULT,24,False,2021
2010-10-27 17:30:00+00:00,CRIMINAL DAMAGE,25,False,2010
2002-07-28 22:00:00+00:00,MOTOR VEHICLE THEFT,25,True,2002
2012-09-12 19:00:00+00:00,THEFT,1,True,2012
2007-02-22 01:00:46+00:00,THEFT,1,True,2007
2006-08-31 12:06:00+00:00,DECEPTIVE PRACTICE,2,False,2006
2003-09-27 00:00:00+00:00,MOTOR VEHICLE THEFT,3,False,2003
2001-12-03 13:50:00+00:00,THEFT,3,False,2001
2007-04-26 12:25:00+00:00,NARCOTICS,3,True,2007
2019-10-21 06:30:00+00:00,BURGLARY,4,False,2019
2002-01-08 14:00:00+00:00,THEFT,4,False,2002
2008-04-06 00:20:00+00:00,BATTERY,6,True,2008
2008-07-19 12:05:00+00:00,THEFT,6,False,2008
2011-08-13 21:25:00+00:00,NARCOTICS,6,True,2011
2008-09-25 14:15:00+00:00,BATTERY,6,False,2008
2017-06-08 20:29:00+00:00,THEFT,6,False,2017
2005-10-18 15:00:00+00:00,NARCOTICS,6,True,2005
2010-04-24 22:07:00+00:00,NARCOTICS,7,True,2010
2010-01-16 22:54:00+00:00,ASSAULT,7,True,2010
2003-01-27 14:18:00+00:00,ASSAULT,7,True,2003
2013-12-24 20:40:00+00:00,NARCOTICS,7,True,2013
2015-07-01 01:00:00+00:00,THEFT,7,False,2015
2021-07-16 13:03:00+00:00,DECEPTIVE PRACTICE,7,False,2021
2010-06-27 18:00:00+00:00,BATTERY,7,False,2010
2009-03-13 22:00:00+00:00,CRIMINAL DAMAGE,7,False,2009
2008-08-10 05:00:00+00:00,BURGLARY,8,True,2008
